group_level,group_value,fold_count,importance_mean,importance_std,importance_min,importance_max,mean_rank,rank_std
channel,gravity_z,5,0.06977022967595427,0.002974478455106594,0.06467419129312277,0.07295806267586498,1.0,0.0
channel,gravity_x,5,0.06528697165571815,0.0017319716947212793,0.06221141293372566,0.0671617709326423,3.8,1.16619037896906
channel,gravity_y,5,0.0649313026992883,0.00636406124093388,0.055896695416580884,0.07248737208813794,3.8,2.4
channel,gyros_x,5,0.062357471729783745,0.00463614141806724,0.05575853444083477,0.06714597782880512,5.2,3.370459909270544
channel,game_rot_vec_z,5,0.06171520978652799,0.0015731095657941924,0.05944522196271441,0.06399734461584218,5.2,1.16619037896906
channel,accelerometer_z,5,0.06164560930456446,0.0024907061793346297,0.058286506059254825,0.06512851859266217,4.6,1.2
channel,gyros_y,5,0.059850193292962504,0.002668003691555429,0.05615296055908691,0.06365307673778091,6.0,2.0
channel,accelerometer_y,5,0.05448418029476103,0.002524811047111642,0.05038892135302804,0.05822411787094386,10.0,2.6076809620810595
channel,game_rot_vec_y,5,0.05428720935702987,0.0029105578663468938,0.04934598819388685,0.05742371420747978,10.4,3.6110940170535577
channel,magn_field_x,5,0.053877135102622084,0.002716682939017256,0.048708801053671605,0.05611264345675926,10.8,2.1354156504062622
channel,gyros_z,5,0.052632930960399296,0.0026703691076235456,0.04963973492765048,0.05739005165624123,10.8,2.0396078054371136
channel,magn_field_z,5,0.05198656849569529,0.003992742793694451,0.04638627456245726,0.056925334821265425,12.0,3.22490309931942
channel,accelerometer_x,5,0.05151026603238455,0.0021223844452936203,0.04795400018294506,0.05340327764211528,12.0,0.6324555320336759
channel,game_rot_vec_x,5,0.05008922991502256,0.0024796787733658084,0.0461681779127732,0.053922724903254095,13.6,2.4166091947189146
channel,lin_accel_z,5,0.04947870484899075,0.004631824248496454,0.044235628785796385,0.056480550079825734,13.8,3.1874754901018454
channel,lin_accel_y,5,0.04800109982586252,0.0034422828979155276,0.04254146197623925,0.05234926662147044,15.6,1.4966629547095764
channel,magn_field_y,5,0.04763761007247634,0.003670678293217429,0.04308715319671562,0.053936039248554994,15.0,2.756809750418044
channel,lin_accel_x,5,0.04045807694995626,0.002829589793166459,0.03809802828184007,0.045984055429915266,17.4,1.2
