group_level,left_fold,right_fold,top_k,jaccard_overlap
dilation,0,1,2,1.0
dilation,0,2,2,1.0
dilation,0,3,2,1.0
dilation,0,4,2,1.0
dilation,1,2,2,1.0
dilation,1,3,2,1.0
dilation,1,4,2,1.0
dilation,2,3,2,1.0
dilation,2,4,2,1.0
dilation,3,4,2,1.0
temporal_scale_bin,0,1,2,1.0
temporal_scale_bin,0,2,2,1.0
temporal_scale_bin,0,3,2,1.0
temporal_scale_bin,0,4,2,1.0
temporal_scale_bin,1,2,2,1.0
temporal_scale_bin,1,3,2,1.0
temporal_scale_bin,1,4,2,1.0
temporal_scale_bin,2,3,2,1.0
temporal_scale_bin,2,4,2,1.0
temporal_scale_bin,3,4,2,1.0
