pattern_rank,feature_index,kernel_id,pattern_index,pattern_weights,dilation_index,dilation,kernel_length,padding_per_side,channel_combination_index,channel_indices,channel_names,channel_count,channel_index,channel_name,combination_order,combination_method,threshold_index,feature_type,effective_receptive_field_samples,effective_receptive_field_seconds_nominal,relative_span,fold_count,nonzero_fold_count,mean_normalized_importance,std_normalized_importance,min_normalized_importance,max_normalized_importance,threshold_mean,threshold_std,threshold_min,threshold_max,associated_class,associated_class_label,class_separation_auc,associated_class_median_value,global_value_q75,global_value_q90
1,8164,d05_p033,33,"[-1.0, 2.0, 2.0, -1.0, -1.0, -1.0, -1.0, -1.0, 2.0]",5,6,9,24,10,[10],"[""lin_accel_y""]",1,10,lin_accel_y,1,additive,0,ppv,49,0.98,0.875,5,5,0.0032039014140491525,0.00036103006925012655,0.0028645089984770775,0.0038445214864003315,0.5778899431228638,0.013318040156107791,0.554999828338623,0.5914502143859863,1,upward block,0.682125,0.4642857015132904,0.4821428656578064,0.5178571343421936
2,8429,d05_p048,48,"[-1.0, 2.0, -1.0, -1.0, -1.0, -1.0, -1.0, 2.0, 2.0]",5,6,9,24,5,[5],"[""gravity_z""]",1,5,gravity_z,1,additive,0,ppv,49,0.98,0.875,5,5,0.0031683658767547433,0.001033668584755009,0.0020394647473573144,0.0048519101310988445,0.8658568978309631,0.05707549381138395,0.7649999856948853,0.925967276096344,1,upward block,0.9714375,0.5714285969734192,0.4821428656578064,0.5553571224212646
3,7931,d05_p020,20,"[2.0, -1.0, -1.0, -1.0, 2.0, -1.0, -1.0, 2.0, -1.0]",5,6,9,24,11,[11],"[""lin_accel_z""]",1,11,lin_accel_z,1,additive,0,ppv,49,0.98,0.875,5,5,0.0031159205320049725,0.0006955700556951083,0.002285699063659504,0.004378978908631043,3.2229069232940675,0.09726387293715624,3.1289336681365967,3.373283863067627,2,hammering inward block,0.8220000000000002,0.5892857313156128,0.5535714030265808,0.5910714447498321
4,6206,d04_p008,8,"[2.0, -1.0, 2.0, -1.0, 2.0, -1.0, -1.0, -1.0, -1.0]",4,5,9,20,14,[14],"[""game_rot_vec_z""]",1,14,game_rot_vec_z,1,additive,0,ppv,41,0.82,0.7321428571428571,5,5,0.003022533750596486,0.0009933655002953203,0.001783775581307145,0.004632748487432231,5.693307018280029,0.34516954328864446,5.065999984741211,6.070999622344971,4,outward downward block,0.9685,0.5892857313156128,0.4642857015132904,0.5732143104076385
5,8463,d05_p050,50,"[-1.0, -1.0, 2.0, 2.0, -1.0, 2.0, -1.0, -1.0, -1.0]",5,6,9,24,3,[3],"[""gravity_x""]",1,3,gravity_x,1,additive,0,ppv,49,0.98,0.875,5,5,0.003019645899649064,0.00020015198194281637,0.002796856107244662,0.0033049897950242295,5.197783660888672,0.37156848271702997,4.711416721343994,5.627483367919922,4,outward downward block,0.8904375000000001,0.5714285969734192,0.5535714030265808,0.5892857313156128
6,8405,d05_p046,46,"[-1.0, 2.0, -1.0, -1.0, -1.0, -1.0, 2.0, 2.0, -1.0]",5,6,9,24,17,[17],"[""magn_field_z""]",1,17,magn_field_z,1,additive,0,ppv,49,0.98,0.875,5,5,0.0030176912339056313,0.0002808245995865141,0.002591493564437682,0.0034730108335028235,3.474946928024292,0.1740252138707485,3.200000047683716,3.644350528717041,5,rear elbow block,0.89325,0.5714285969734192,0.5,0.5553571224212646
7,7909,d05_p019,19,"[2.0, -1.0, -1.0, -1.0, 2.0, -1.0, 2.0, -1.0, -1.0]",5,6,9,24,7,[7],"[""gyros_y""]",1,7,gyros_y,1,additive,0,ppv,49,0.98,0.875,5,5,0.0030116072682687687,0.0006580099867732037,0.0018567397264651652,0.0035714148341658846,5.14356689453125,0.11820798520882923,4.944482803344727,5.269999980926514,2,hammering inward block,0.8251249999999999,0.6339285671710968,0.5535714030265808,0.6428571343421936
8,8453,d05_p049,49,"[-1.0, -1.0, 2.0, 2.0, 2.0, -1.0, -1.0, -1.0, -1.0]",5,6,9,24,11,[11],"[""lin_accel_z""]",1,11,lin_accel_z,1,additive,0,ppv,49,0.98,0.875,5,5,0.0029837406776848413,0.0010001985153634532,0.0013631675330210366,0.004504063238019484,3.822733736038208,0.28401251477048506,3.4509999752044678,4.184900283813477,1,upward block,0.8208125,0.5892857313156128,0.5535714030265808,0.6071428656578064
9,8485,d05_p051,51,"[-1.0, -1.0, 2.0, 2.0, -1.0, -1.0, 2.0, -1.0, -1.0]",5,6,9,24,7,[7],"[""gyros_y""]",1,7,gyros_y,1,additive,0,ppv,49,0.98,0.875,5,5,0.0028910133880402566,0.0002179003406986197,0.0026379285920587396,0.0032035388056381978,2.3212170362472535,0.2662789743486572,1.9237340688705444,2.720933437347412,1,upward block,0.8396874999999999,0.5535714030265808,0.5178571343421936,0.5714285969734192
10,6196,d04_p008,8,"[2.0, -1.0, 2.0, -1.0, 2.0, -1.0, -1.0, -1.0, -1.0]",4,5,9,20,4,[4],"[""gravity_y""]",1,4,gravity_y,1,additive,0,ppv,41,0.82,0.7321428571428571,5,5,0.002872902554375136,0.0005923877596919886,0.0020763771670403615,0.003907571971348219,5.6644233703613285,0.2802472522917811,5.172383785247803,5.969966888427734,4,outward downward block,0.9649375,0.5892857313156128,0.4821428656578064,0.5892857313156128
11,7944,d05_p021,21,"[2.0, -1.0, -1.0, -1.0, 2.0, -1.0, -1.0, -1.0, 2.0]",5,6,9,24,6,[6],"[""gyros_x""]",1,6,gyros_x,1,additive,0,ppv,49,0.98,0.875,5,5,0.0028645708741528884,0.001152224823319089,0.0013026719732347665,0.004234013615730753,1.4188833236694336,0.19248344615120638,1.1339668035507202,1.5894830226898193,5,rear elbow block,0.854375,0.5892857313156128,0.5044642835855484,0.6089285790920257
12,8533,d05_p054,54,"[-1.0, -1.0, 2.0, -1.0, 2.0, 2.0, -1.0, -1.0, -1.0]",5,6,9,24,1,[1],"[""accelerometer_y""]",1,1,accelerometer_y,1,additive,0,ppv,49,0.98,0.875,5,5,0.0027841522876711445,0.0009492165227556474,0.001358116542619324,0.004032916054822596,1.6508171558380127,0.1076799872543541,1.4509340524673462,1.7769668102264404,4,outward downward block,0.8824375,0.6071428656578064,0.5,0.6071428656578064
