fold,split,dilation,sample_count,effective_receptive_field_samples,mean_padding_fraction,mean_absolute_feature_delta,median_absolute_feature_delta,max_absolute_feature_delta,padding_delta_correlation
0,train,1,192,9,0.4001116071428572,0.16640668787780064,0.17081744968891144,0.30571040511131287,0.9974440060680088
0,test,1,48,9,0.3928571428571428,0.16115365410223603,0.1523786038160324,0.26226624846458435,0.9995585603087935
0,train,2,192,17,0.4001116071428572,0.13793745840666816,0.1351727768778801,0.2750278413295746,0.9860270227257917
0,test,2,48,17,0.3928571428571428,0.130707371669511,0.1215088963508606,0.231407031416893,0.9932341344208129
0,train,3,192,25,0.4001116071428572,0.12079814319925693,0.1145121194422245,0.24148479104042053,0.9751358531026547
0,test,3,48,25,0.3928571428571428,0.11438563458311062,0.10522596538066864,0.2017395943403244,0.972740562440998
0,train,4,192,33,0.4001116071428572,0.11566749650713366,0.1118825376033783,0.2277756929397583,0.9652451597360532
0,test,4,48,33,0.3928571428571428,0.1116660269908607,0.10524186491966248,0.18288525938987732,0.9350110621185876
0,train,5,192,41,0.4001116071428572,0.11457291964325123,0.11642898991703987,0.2089182585477829,0.9366082930416905
0,test,5,48,41,0.3928571428571428,0.11410212361564238,0.11308145523071289,0.17555879056453705,0.8794376014741678
0,train,6,192,49,0.4001116071428572,0.11473765559882547,0.11836226657032967,0.19125628471374512,0.9066624749458141
0,test,6,48,49,0.3928571428571428,0.11841871015106638,0.11576173827052116,0.17814728617668152,0.8777994973822739
