fold,stage,seconds
0,classifier_fit:xrocket_random_forest,0.9811952999998539
0,classifier_fit:xrocket_logistic_regression,0.15645279999989725
0,xrocket_fit,2.8964960000002975
0,xrocket_transform_all,0.28728529999989405
0,fold_total,7.288490599999932
1,classifier_fit:xrocket_random_forest,0.8874587000000247
1,classifier_fit:xrocket_logistic_regression,0.270255399999769
1,xrocket_fit,2.84874630000013
1,xrocket_transform_all,0.38293119999980263
1,fold_total,7.220434799999566
2,classifier_fit:xrocket_random_forest,0.7895598000004611
2,classifier_fit:xrocket_logistic_regression,0.14187500000025466
2,xrocket_fit,2.7807073000003584
2,xrocket_transform_all,0.3244637999996485
2,fold_total,6.82816449999973
3,classifier_fit:xrocket_random_forest,0.8454593999995268
3,classifier_fit:xrocket_logistic_regression,0.174275100000159
3,xrocket_fit,2.7715260999993916
3,xrocket_transform_all,0.3249900999999227
3,fold_total,6.991265800000292
4,classifier_fit:xrocket_random_forest,1.059753599999567
4,classifier_fit:xrocket_logistic_regression,0.1945741999998063
4,xrocket_fit,2.8340417999997953
4,xrocket_transform_all,0.30582699999922625
4,fold_total,7.195062599999801
all,experiment_total,35.58142450000014
